No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
3,Pregunta de única respuesta. Un aliado comercial duda en activar un nueva solución para PYMES. ¿Qué estrategia aplicas para persuadirlo?,3.0,Presentar datos detallados y alinear con objetivos previos y posteriores.,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
4,"Pregunta de única respuesta. Debes motivar a un equipo de un agente zonificado para priorizar ventas de soluciones digitales, pero no tienes autoridad jerárquica. ¿Qué acción es más efectiva?",1.0,Dar órdenes por encima de cualquier cargo.,FALSO,Especialistas,El Arte de Influir,,,Especialistas,PYME
4,"Pregunta de única respuesta. Debes motivar a un equipo de un agente zonificado para priorizar ventas de soluciones digitales, pero no tienes autoridad jerárquica. ¿Qué acción es más efectiva?",2.0,Amenazar con quitar beneficios si no cumplen.,FALSO,Especialistas,El Arte de Influir,,,Especialistas,PYME
4,"Pregunta de única respuesta. Debes motivar a un equipo de un agente zonificado para priorizar ventas de soluciones digitales, pero no tienes autoridad jerárquica. ¿Qué acción es más efectiva?",3.0,Motivar al equipo y persuadir para lograr una visión compartida.,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
5,"Pregunta de única respuesta. Durante una visita, el dueño de la PYME comenta que le gusta el ciclismo, igual que tú. ¿Cómo aplicas el principio de simpatía?",1.0,Mostrar semejanza en opiniones o aficiones para generar cercanía.,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
5,"Pregunta de única respuesta. Durante una visita, el dueño de la PYME comenta que le gusta el ciclismo, igual que tú. ¿Cómo aplicas el principio de simpatía?",2.0,Ignorar el comentario y seguir con la propuesta.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
5,"Pregunta de única respuesta. Durante una visita, el dueño de la PYME comenta que le gusta el ciclismo, igual que tú. ¿Cómo aplicas el principio de simpatía?",3.0,Ofrecer un plan sin explicar beneficios.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
6,"Pregunta de única respuesta. Un gerente PYME dice:
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?",1.0,Envía un documento extenso con antecedentes técnicos sin responder su solicitud puntual.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
6,"Pregunta de única respuesta. Un gerente PYME dice:
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?",2.0,"Sé directo, ve al grano y utiliza cifras/números. ",VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
6,"Pregunta de única respuesta. Un gerente PYME dice:
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?
""Necesito saber qué hay que hacer y en cuánto tiempo para instalar la fibra.""¿Cómo respondes según el estilo directo?",3.0,Le das vuelta al asunto y luego sí eres específico.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
7,Pregunta de única respuesta. Detectas que un aliado clave está “alejado” en tu mapa de proximidad y no prioriza tus soluciones. ¿Qué estrategia aplicas primero?,1.0,Enviar un correo con información técnica.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
7,Pregunta de única respuesta. Detectas que un aliado clave está “alejado” en tu mapa de proximidad y no prioriza tus soluciones. ¿Qué estrategia aplicas primero?,2.0,Ofrecer un descuento inmediato sin conversación previa.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
7,Pregunta de única respuesta. Detectas que un aliado clave está “alejado” en tu mapa de proximidad y no prioriza tus soluciones. ¿Qué estrategia aplicas primero?,3.0,Ubicarlo en el mapa y generar cercanía con interacción personal.,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
8,"Un empleado conecta su dispositivo móvil a una red WiFi pública sin protección.
¿Cuál es el principal riesgo asociado a esta acción?
¿Cuál es el principal riesgo asociado a esta acción?",1.0,Exposición a ataques de phishing y malware,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
8,"Un empleado conecta su dispositivo móvil a una red WiFi pública sin protección.
¿Cuál es el principal riesgo asociado a esta acción?
¿Cuál es el principal riesgo asociado a esta acción?",2.0,Pérdida de la garantía del dispositivo,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
8,"Un empleado conecta su dispositivo móvil a una red WiFi pública sin protección.
¿Cuál es el principal riesgo asociado a esta acción?
¿Cuál es el principal riesgo asociado a esta acción?",3.0,Bloqueo de aplicaciones instaladas,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
9,"Un dispositivo corporativo fue comprometido mediante un ataque de phishing exitoso.
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?",1.0,Bloqueo del acceso a redes WiFi,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
9,"Un dispositivo corporativo fue comprometido mediante un ataque de phishing exitoso.
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?",2.0,Instalación de actualizaciones del sistema,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
9,"Un dispositivo corporativo fue comprometido mediante un ataque de phishing exitoso.
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?
¿Cuál es el siguiente paso más probable en la cadena de exterminio móvil?",3.0,Robo de credenciales del usuario,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
10,"Una empresa busca proteger sus dispositivos móviles contra aplicaciones maliciosas y conexiones inseguras.
¿Qué solución ofrece Lookout para este propósito?
¿Qué solución ofrece Lookout para este propósito?",1.0,Bloqueo de llamadas no deseadas,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
10,"Una empresa busca proteger sus dispositivos móviles contra aplicaciones maliciosas y conexiones inseguras.
¿Qué solución ofrece Lookout para este propósito?
¿Qué solución ofrece Lookout para este propósito?",2.0,Protección continua contra amenazas móviles,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
10,"Una empresa busca proteger sus dispositivos móviles contra aplicaciones maliciosas y conexiones inseguras.
¿Qué solución ofrece Lookout para este propósito?
¿Qué solución ofrece Lookout para este propósito?",3.0,Eliminación de datos personales del dispositivo,FALSO ,Especialistas,Línea Segura,,,Especialistas,PYME
11,"Un cliente pyme solicita protección contra ataques de phishing en dispositivos móviles.
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?",1.0,Eliminación de archivos duplicados,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
11,"Un cliente pyme solicita protección contra ataques de phishing en dispositivos móviles.
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?",2.0,Bloqueo de enlaces maliciosos y phishing,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
11,"Un cliente pyme solicita protección contra ataques de phishing en dispositivos móviles.
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?
¿Cuál es la funcionalidad principal que ofrece la aplicación Lookout for Work?",3.0,Optimización del consumo de datos,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
12,"Durante la activación del servicio, el cliente pregunta por la privacidad de sus datos.
¿Qué garantiza Lookout respecto a la información personal?
¿Qué garantiza Lookout respecto a la información personal?",1.0,Publica los datos en la nube para análisis,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
12,"Durante la activación del servicio, el cliente pregunta por la privacidad de sus datos.
¿Qué garantiza Lookout respecto a la información personal?
¿Qué garantiza Lookout respecto a la información personal?",2.0,Comparte datos con terceros para mejorar la seguridad,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
12,"Durante la activación del servicio, el cliente pregunta por la privacidad de sus datos.
¿Qué garantiza Lookout respecto a la información personal?
¿Qué garantiza Lookout respecto a la información personal?",3.0,No retiene ni comparte datos personales con el administrador,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
13,"Un ejecutivo debe explicar el proceso de activación de la licencia Lookout.
¿Cuál es el primer paso que debe realizar el cliente?
¿Cuál es el primer paso que debe realizar el cliente?",1.0,Solicitar un cambio de plan,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
13,"Un ejecutivo debe explicar el proceso de activación de la licencia Lookout.
¿Cuál es el primer paso que debe realizar el cliente?
¿Cuál es el primer paso que debe realizar el cliente?",2.0,Descargar la aplicación Lookout for Work,VERDADERO,Especialistas,Línea Segura,,,Especialistas,PYME
13,"Un ejecutivo debe explicar el proceso de activación de la licencia Lookout.
¿Cuál es el primer paso que debe realizar el cliente?
¿Cuál es el primer paso que debe realizar el cliente?",3.0,Llamar a la mesa de soporte,FALSO,Especialistas,Línea Segura,,,Especialistas,PYME
14,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",1.0,Básico y Empresarial,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
14,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",2.0,Estándar y Premium,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
14,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",3.0,Básico y Avanzado,VERDADERA,Especialistas,Correo Seguro,,,Especialistas,PYME
15,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",1.0,digitacion.co@claro.com.co,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
15,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",2.0,legalizacion.co@claro.com.co,VERDADERA,Especialistas,Correo Seguro,,,Especialistas,PYME
15,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",3.0,soporte.co@claro.com.co,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
16,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,1.0,Validaciones administrativas de riesgo y cartera,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
16,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,2.0,Generación de incidente de venta y OT,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
16,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,3.0,Desarrollo del software médico personalizado,VERDADERA,Especialistas,Correo Seguro,,,Especialistas,PYME
17,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,1.0,Contratar el servicio Avanzado exclusivamente,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
17,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,2.0,Informar los BEC (Buzones de Alta Exposición al Ciberriesgo),VERDADERA,Especialistas,Correo Seguro,,,Especialistas,PYME
17,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,3.0,Realizar una solicitud de cambio formal,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
18,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,1.0,Configurar personalmente el servicio en la nube,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
18,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,2.0,Realizar pruebas de seguridad académicas,FALSA,Especialistas,Correo Seguro,,,Especialistas,PYME
18,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,3.0,Enviar documentación a digitacion.co@claro.com.co para digitación de OT,VERDADERA,Especialistas,Correo Seguro,,,Especialistas,PYME
